ID,C1,C2,C3,C4,C5,C6,C7,C8
TCGA-50-7109,1406,20,368,0,102,0,14,354
TCGA-50-8457,1286,20,312,3,201,0,54,194
TCGA-50-8459,802,23,299,0,138,0,9,284
TCGA-53-7624,1291,24,215,5,110,0,49,194
TCGA-53-7626,1371,23,1786,1,36,0,24,139
TCGA-53-7813,1833,22,442,0,194,0,476,729
TCGA-53-A4EZ,871,34,119,2,181,0,58,205
TCGA-55-1592,1717,18,412,0,116,0,174,335
TCGA-55-1594,1680,11,229,0,49,0,1,235
TCGA-55-1595,354,1,139,0,27,0,7,41
TCGA-55-1596,183,1,93,0,95,0,0,36
TCGA-55-5899,1283,4,317,0,520,0,2,208
TCGA-55-6543,1147,36,221,4,199,0,143,120
TCGA-55-6642,2038,33,386,0,156,0,65,397
TCGA-55-6712,249,2,68,5,33,0,15,16
TCGA-55-6968,735,10,2005,0,69,0,0,156
TCGA-55-6969,297,1,353,0,32,0,0,106
TCGA-55-6970,864,12,221,0,50,0,1,154
TCGA-55-6971,1055,11,449,3,39,0,12,149
TCGA-55-6972,1286,3,405,0,294,0,333,588
TCGA-55-6975,891,11,117,0,61,0,4,65
TCGA-55-6978,1401,6,549,0,55,0,0,242
TCGA-55-6979,1329,27,276,0,51,0,0,92
TCGA-55-6980,1302,11,270,0,65,0,8,416
TCGA-55-6981,453,4,166,0,295,0,1,91
TCGA-55-6982,1217,11,255,0,50,0,47,207
TCGA-55-6983,874,29,197,1,65,0,28,85
TCGA-55-6984,883,8,288,0,54,0,13,380
TCGA-55-6985,1016,7,279,0,15,0,13,116
TCGA-55-6986,2381,36,457,0,22,0,38,112
TCGA-55-6987,1498,15,368,0,20,0,5,67
TCGA-55-7227,1925,45,464,0,410,0,60,458
TCGA-55-7281,2232,58,499,0,89,1,151,465
TCGA-55-7283,562,4,242,0,265,0,0,80
TCGA-55-7570,1174,7,343,0,31,0,16,82
TCGA-55-7573,1024,19,336,0,48,0,2,224
TCGA-55-7574,1238,13,236,0,176,0,26,186
TCGA-55-7576,967,6,254,0,134,0,0,214
TCGA-55-7724,825,1,173,0,86,0,5,236
TCGA-55-7725,939,43,342,0,62,0,6,118
TCGA-55-7726,1098,19,209,9,146,0,256,149
TCGA-55-7727,899,0,279,0,162,0,707,444
TCGA-55-7728,1148,11,179,1,104,0,19,116
TCGA-55-7815,1298,11,246,0,176,0,48,257
TCGA-55-7816,2200,13,398,0,113,0,242,378
TCGA-55-7903,1186,10,274,2,146,0,13,223
TCGA-55-7907,1595,17,340,2,38,0,15,201
TCGA-55-7910,513,4,183,0,120,0,5,147
TCGA-55-7911,1688,13,497,0,41,0,19,219
TCGA-55-7913,921,1,134,7,84,0,9,93
TCGA-55-7914,1116,9,287,0,112,0,3,125
TCGA-55-7994,873,2,281,0,675,0,15,312
TCGA-55-7995,1326,21,303,0,329,0,29,272
TCGA-55-8085,1115,24,249,6,148,0,28,131
TCGA-55-8087,1869,66,407,0,155,0,280,503
TCGA-55-8089,777,8,302,0,110,0,14,168
TCGA-55-8090,1096,11,235,0,221,0,21,195
TCGA-55-8091,1066,6,260,0,86,0,14,160
TCGA-55-8092,1241,11,342,0,127,0,23,236
TCGA-55-8096,762,11,125,0,221,0,251,107
TCGA-55-8097,1472,17,451,0,137,0,45,457
TCGA-55-8203,1233,3,376,0,50,0,3,152
TCGA-55-8205,853,9,202,0,98,0,0,137
TCGA-55-8206,1540,34,230,2,92,0,59,332
TCGA-55-8208,1266,3,382,1,90,0,4,198
TCGA-55-8299,1422,13,335,0,67,0,0,119
TCGA-55-8302,352,2,148,9,43,0,17,59
TCGA-55-8506,902,22,247,0,123,0,408,314
TCGA-55-8507,1927,24,390,0,312,0,27,534
TCGA-55-8508,702,20,315,0,150,0,9,100
TCGA-55-8510,1698,9,328,0,85,0,6,100
TCGA-55-8511,1277,6,330,0,101,0,70,460
TCGA-55-8512,1084,4,401,1,268,0,437,887
TCGA-55-8513,1014,40,196,0,62,0,6,92
TCGA-55-8514,341,1,229,0,62,0,9,160
TCGA-55-8614,1078,9,155,0,176,0,13,142
TCGA-55-8615,1677,6,326,0,190,0,54,186
TCGA-55-8616,1001,47,205,35,45,0,248,259
TCGA-55-8619,1367,22,366,1,45,0,12,168
TCGA-55-8620,1121,13,275,0,119,0,7,87
TCGA-55-8621,190,0,146,0,65,1,2,28
TCGA-55-A48X,1732,85,485,1,33,1,19,190
TCGA-55-A48Y,779,11,213,0,56,0,4,74
TCGA-55-A48Z,504,7,169,0,84,0,2,116
TCGA-55-A490,680,2,275,0,104,0,5,142
TCGA-55-A491,1302,10,309,0,101,0,6,139
TCGA-55-A492,1475,0,264,0,98,0,96,497
TCGA-55-A493,685,2,166,0,267,0,28,351
TCGA-55-A494,429,5,123,8,52,0,358,369
TCGA-55-A4DF,1513,6,276,0,78,1,15,191
TCGA-55-A4DG,1011,19,135,0,78,0,1,111
TCGA-55-A57B,604,1,101,0,144,0,23,100
TCGA-62-A46O,1451,22,236,5,168,0,793,405
TCGA-62-A46P,1988,23,425,10,260,0,1536,777
TCGA-62-A46R,2544,8,377,0,178,0,11,440
TCGA-62-A46S,1291,9,352,12,232,0,1574,720
TCGA-62-A46U,2123,9,281,0,148,0,91,230
TCGA-62-A46V,2043,25,288,0,98,0,56,181
TCGA-62-A470,1287,0,211,0,127,0,256,193
TCGA-62-A471,2642,170,286,0,169,0,134,387
TCGA-62-A472,3080,6,372,7,212,0,237,593
TCGA-64-1676,1785,22,454,0,33,0,0,273
TCGA-64-1677,1848,53,410,0,24,0,3,221
TCGA-64-1678,1518,71,516,0,20,0,6,82
TCGA-64-1679,785,6,208,0,48,0,2,438
TCGA-64-1680,1089,7,246,0,39,0,13,248
TCGA-64-1681,1085,16,408,0,18,0,2,61
TCGA-64-5774,1439,2,2257,0,1,0,23,149
TCGA-64-5775,2404,20,985,0,84,0,0,486
TCGA-64-5778,642,18,1064,1,22,0,5,160
TCGA-64-5779,1188,13,528,0,46,0,0,90
TCGA-64-5781,792,20,1391,0,14,0,5,53
TCGA-64-5815,271,10,337,1,98,0,0,185
TCGA-67-3770,1180,16,166,0,41,0,1,147
TCGA-67-3771,611,10,257,0,22,0,1,122
TCGA-67-3772,939,12,374,0,16,0,12,185
TCGA-67-3773,1602,147,508,1,17,0,2,44
TCGA-67-3774,1958,69,707,0,10,0,7,171
TCGA-67-4679,1399,21,450,0,75,0,1,151
TCGA-67-6215,1191,2,296,0,56,0,6,310
TCGA-67-6216,1174,77,325,0,114,0,85,183
TCGA-67-6217,1290,7,296,0,94,0,51,618
TCGA-69-7760,1043,6,196,0,115,0,12,361
TCGA-69-7761,1062,5,263,0,169,0,0,178
TCGA-69-7763,889,9,342,2,43,0,21,196
TCGA-69-7764,1437,6,398,0,110,0,5,580
TCGA-69-7765,396,5,317,0,182,0,1749,700
TCGA-69-7973,1225,0,348,0,301,0,405,517
TCGA-69-7974,947,2,322,1,401,0,74,317
TCGA-69-7978,296,2,239,0,141,0,3,119
TCGA-69-7979,1150,5,359,0,102,0,41,299
TCGA-69-7980,1893,5,384,83,78,0,261,70
TCGA-69-8253,1282,13,355,0,154,0,367,554
TCGA-69-8254,1108,40,474,0,138,0,164,317
TCGA-69-8255,2042,31,425,0,404,0,331,370
TCGA-69-8453,1240,11,226,0,223,0,0,154
TCGA-69-A59K,997,17,147,0,50,0,3,87
TCGA-71-6725,1290,3,333,3,258,0,18,182
TCGA-71-8520,855,6,135,0,55,0,1,85
TCGA-73-4658,1396,11,506,0,30,0,2,149
TCGA-73-4659,871,1,163,0,74,0,228,293
TCGA-73-4662,903,4,363,0,121,0,5,225
TCGA-73-4666,1262,18,643,0,113,0,1,220
TCGA-73-4668,233,1,225,0,61,0,0,195
TCGA-73-4670,1042,7,370,0,136,0,0,291
TCGA-73-4675,721,4,280,0,77,0,0,95
TCGA-73-4676,2833,12,1045,0,59,1,30,284
TCGA-73-4677,2202,80,435,0,187,0,75,333
TCGA-73-7498,543,6,339,0,49,0,1,272
TCGA-73-7499,1329,31,542,0,20,0,1,150
TCGA-73-A9RS,386,2,295,0,179,0,5,131
TCGA-75-5125,1146,24,139,0,160,0,75,139
TCGA-75-5146,1248,42,388,0,40,0,101,1286
TCGA-75-6206,1253,22,362,0,51,0,397,1021
TCGA-75-6212,876,4,203,1,113,0,11,448
TCGA-75-6214,368,1,69,0,123,0,429,266
TCGA-75-7025,1358,6,272,0,66,0,0,188
TCGA-75-7027,1272,32,246,0,198,0,316,280
TCGA-78-7145,416,4,186,1,103,0,633,340
TCGA-78-7146,597,2,137,0,93,0,0,144
TCGA-78-7147,1436,14,392,0,77,0,250,321
TCGA-78-7148,1613,15,411,0,45,0,25,307
TCGA-78-7149,643,8,144,0,104,0,29,164
TCGA-78-7150,1250,26,230,0,56,0,8,224
TCGA-78-7152,1335,11,495,0,52,0,4,315
TCGA-78-7153,912,19,233,0,113,0,151,254
TCGA-78-7154,825,14,171,0,145,0,88,257
TCGA-78-7155,1082,16,344,0,43,0,6,247
TCGA-78-7156,547,12,262,0,134,0,184,373
TCGA-78-7158,1788,33,335,0,109,0,10,313
TCGA-78-7159,405,1,138,0,179,0,0,225
TCGA-78-7160,871,17,283,0,66,1,0,263
TCGA-78-7161,514,10,252,0,75,0,4,177
TCGA-78-7163,1603,30,416,0,102,0,252,527
TCGA-78-7166,544,23,186,2,81,0,112,237
TCGA-78-7167,895,3,271,0,208,0,269,461
TCGA-78-7220,848,1,255,0,137,0,25,326
TCGA-78-7535,287,0,186,0,64,0,3,242
TCGA-78-7536,1338,11,425,0,126,0,253,548
TCGA-78-7537,578,5,224,0,113,0,47,327
TCGA-78-7539,112,0,128,0,79,0,1,70
TCGA-78-7540,996,1,198,14,74,0,75,165
TCGA-78-7542,949,20,200,0,63,0,6,238
TCGA-78-7633,1037,18,260,1,66,0,25,263
TCGA-78-8640,160,2,193,0,62,0,0,63
TCGA-78-8648,1686,56,304,0,19,0,3,72
TCGA-78-8655,1749,61,402,0,68,0,103,288
TCGA-78-8660,960,26,398,0,39,0,0,268
TCGA-78-8662,1538,51,427,0,97,0,146,337
TCGA-80-5608,984,2,295,1,139,0,80,349
TCGA-80-5611,857,3,349,0,329,0,8,316
TCGA-83-5908,826,4,302,2,225,0,11,204
TCGA-86-6562,2221,80,501,1,106,0,99,869
TCGA-86-6851,446,2,1050,115,90,0,94,96
TCGA-86-7701,206,1,293,0,30,0,5,128
TCGA-86-7711,394,48,709,0,178,0,13,42
TCGA-86-7713,860,8,256,140,306,0,187,116
TCGA-86-7714,358,1,244,33,34,0,41,107
TCGA-86-7953,108,1,218,0,43,0,0,256
TCGA-86-7954,1323,4,196,21,81,0,100,233
TCGA-86-7955,940,3,189,0,93,0,165,451
TCGA-86-8054,1747,29,278,5,212,0,460,322
TCGA-86-8055,956,17,290,18,353,0,100,121
TCGA-86-8056,970,34,233,0,62,0,1,274
TCGA-86-8073,1238,2,224,0,78,0,17,168
TCGA-86-8074,940,8,234,58,175,0,113,108
TCGA-86-8075,273,1,183,2,72,0,12,119
TCGA-86-8076,858,5,559,0,75,0,248,364
TCGA-86-8278,639,2,115,0,133,0,10,266
TCGA-86-8279,729,7,329,0,128,0,4,313
TCGA-86-8280,437,0,351,2,75,0,28,186
TCGA-86-8281,503,7,240,4,68,0,69,423
TCGA-86-8358,372,0,392,0,83,0,0,422
TCGA-86-8359,1687,45,287,0,59,0,10,216
TCGA-86-8585,825,5,703,0,42,0,0,234
TCGA-86-8668,990,11,430,0,84,0,0,390
TCGA-86-8669,2284,31,389,0,257,0,457,976
TCGA-86-8671,593,33,1513,0,3,0,0,12
TCGA-86-8672,1145,21,258,0,20,0,2,81
TCGA-86-8673,1004,5,342,1,18,0,116,240
TCGA-86-8674,1655,21,521,0,20,0,2,525
TCGA-86-A456,800,1,263,2,42,0,14,43
TCGA-86-A4D0,600,28,188,0,78,0,2,265
TCGA-86-A4JF,1239,21,378,0,110,0,0,124
TCGA-86-A4P8,900,3,210,0,110,0,19,211
TCGA-91-A4BC,2303,18,513,0,206,0,21,376
TCGA-91-A4BD,1383,10,323,0,212,0,6,248
TCGA-93-7347,750,2,486,0,60,0,1,184
TCGA-93-7348,861,38,201,1,74,0,24,105
TCGA-93-8067,1077,5,149,1,123,0,10,132
TCGA-93-A4JN,1508,3,296,0,326,0,111,311
TCGA-93-A4JO,2340,42,581,0,19,0,83,234
TCGA-93-A4JP,1415,17,169,8,299,0,307,155
TCGA-93-A4JQ,1174,4,448,0,384,0,64,659
TCGA-95-7039,816,9,472,0,127,0,49,173
TCGA-95-7562,1164,10,297,0,111,0,170,429
TCGA-95-7567,2105,58,310,9,94,0,105,314
TCGA-95-7944,1592,137,621,0,145,0,82,204
TCGA-95-7948,662,3,298,0,77,0,663,569
TCGA-95-8039,2401,29,454,18,61,0,203,431
TCGA-95-8494,512,0,86,0,89,0,44,238
TCGA-95-A4VK,735,1,389,0,38,1,1,293
TCGA-95-A4VN,1778,30,213,0,174,0,34,227
TCGA-95-A4VP,719,11,288,0,76,0,1,232
TCGA-97-7547,1554,15,483,0,218,0,29,494
TCGA-97-7552,1526,48,351,0,105,0,103,209
TCGA-97-7553,1001,3,423,0,159,0,4,377
TCGA-97-7554,633,4,163,0,146,0,274,376
TCGA-97-7937,533,0,92,0,167,0,35,124
TCGA-97-7938,860,10,154,0,112,0,12,152
TCGA-97-7941,1157,87,220,0,97,0,55,169
TCGA-97-8171,1386,20,195,1,194,0,919,262
TCGA-97-8172,1578,26,417,5,239,0,59,446
TCGA-97-8175,747,6,121,0,244,0,60,170
TCGA-97-8177,1352,12,462,0,249,0,3,391
TCGA-97-8179,1600,74,316,17,219,0,65,441
TCGA-97-8552,1107,9,226,2,88,0,124,285
TCGA-97-A4LX,1706,66,216,0,250,0,78,157
TCGA-97-A4M0,1526,10,342,0,97,0,12,258
TCGA-97-A4M1,2272,56,481,2,287,0,788,448
TCGA-97-A4M2,2121,20,357,28,167,1,76,215
TCGA-97-A4M3,1169,11,307,1,121,0,23,293
TCGA-97-A4M5,1117,17,249,0,121,0,12,236
TCGA-97-A4M7,1573,71,314,18,132,0,62,196
TCGA-99-7458,1594,31,142,2,45,0,12,54
TCGA-99-8025,760,8,131,0,38,0,7,112
TCGA-99-8028,752,10,316,0,53,0,0,90
TCGA-99-8032,1457,20,321,0,53,0,35,271
TCGA-99-8033,1569,6,279,0,82,0,1,271
TCGA-99-AA5R,1046,22,352,0,94,0,10,90
TCGA-J2-8192,1237,7,227,0,127,0,190,344
TCGA-J2-8194,1255,1,364,0,121,0,191,903
TCGA-J2-A4AD,1348,37,192,0,119,1,12,122
TCGA-J2-A4AE,1449,24,458,0,232,0,5,551
TCGA-J2-A4AG,1598,24,299,0,71,0,30,185
TCGA-L4-A4E5,1890,10,678,0,111,0,0,213
TCGA-L4-A4E6,672,0,147,0,137,0,196,154
TCGA-L9-A443,1054,6,215,0,73,0,419,275
TCGA-L9-A444,1424,27,255,0,127,0,75,295
TCGA-L9-A50W,631,1,206,0,101,0,2,183
TCGA-L9-A5IP,709,16,144,0,84,0,28,276
TCGA-L9-A743,1507,15,373,0,49,0,21,405
TCGA-L9-A7SV,923,29,242,0,204,0,4,296
TCGA-L9-A8F4,1705,18,405,0,48,0,0,113
TCGA-MN-A4N1,714,4,50,0,137,0,44,54
TCGA-MN-A4N4,508,7,181,0,104,0,448,287
TCGA-MN-A4N5,659,0,249,0,315,0,45,619
TCGA-MP-A4SV,398,0,171,0,147,0,10,122
TCGA-MP-A4SW,831,16,277,0,135,0,3,216
TCGA-MP-A4SY,647,1,146,0,209,0,17,118
TCGA-MP-A4T2,526,5,843,0,151,0,2,402
TCGA-MP-A4T4,1017,15,221,0,109,0,8,186
TCGA-MP-A4T6,870,36,303,0,119,0,17,252
TCGA-MP-A4T7,811,10,187,0,433,0,3,255
TCGA-MP-A4T8,1007,0,217,0,395,0,148,291
TCGA-MP-A4T9,1716,19,1427,0,54,0,11,187
TCGA-MP-A4TA,469,8,284,0,45,0,7,149
TCGA-MP-A4TC,1232,7,405,0,81,0,1,182
TCGA-MP-A4TD,346,1,261,0,105,0,0,207
TCGA-MP-A4TE,1663,19,311,0,209,0,13,479
TCGA-MP-A4TF,739,11,413,0,100,0,1,217
TCGA-MP-A4TH,1484,10,432,0,46,0,20,293
TCGA-MP-A4TI,868,3,227,0,178,0,1,144
TCGA-MP-A4TJ,1471,26,370,1,206,0,67,422
TCGA-MP-A4TK,1204,24,280,0,33,0,0,67
TCGA-MP-A5C7,1124,13,361,1,283,0,850,574
TCGA-NJ-A4YF,1143,4,224,0,135,0,26,249
TCGA-NJ-A4YG,1753,34,345,0,84,0,14,295
TCGA-NJ-A4YI,1171,9,253,0,165,0,23,252
TCGA-NJ-A4YP,1984,15,305,2,116,0,39,194
TCGA-NJ-A4YQ,1776,26,589,1,25,0,7,161
TCGA-NJ-A55A,1929,27,428,0,57,0,20,163
TCGA-NJ-A55O,1449,11,376,0,152,0,30,267
TCGA-NJ-A55R,2270,75,360,0,161,0,232,237
TCGA-NJ-A7XG,2041,10,549,0,195,0,4,343
TCGA-O1-A52J,927,3,463,0,259,0,85,604
TCGA-S2-AA1A,893,7,215,0,100,0,4,106
